datasheet_id|line|button|description|
GF07|16|Wargear Options|For every 4 models in this unit, it can have 1 void net.|
GF07|17|Wargear Options|Purgeflight Adept .|
GF07|18|Wargear Options|The Purgeflight Adept's glimmer rifle replaced ember lance.|
GF07|19|Wargear Options|Purgeflight Wardens, Purgeflight Adepts, and any attached model drawn from the fen.|
GF07|20|Wargear Options|Up to 2 Purgeflight Wardens* can each have their fen halberd replaced with 1 psilent coil.|
GF08|1|Wargear Options|Any number of Mirebound Chorister models can be equipped with 1 chime flail.|
GF10|1|Wargear Options|The Gloamtide Herald can be equipped with 1 gloam blade.|
GF12|1|Wargear Options|One Marshlight Warden's storm maul can be replaced with 1 glow lance.|
GF12|2|Wargear Options|One Marshlight Warden's ceremonial rod can be replaced with 1 glow lance.|
GF12|3|Wargear Options|The Marshlight Warden can be equipped with 1 glow lance.|
GF12|4|Wargear Options|One Marshguard Sentinel's storm maul can be replaced with 1 glow lance.|
GF12|5|Wargear Options|The Marshlight Sentry can be equipped with 1 marsh axe*.|
GF12|6|Wargear Options|The marsh axe cannot be replaced.|
GF12|7|Wargear Options|The Marshlight Warden's storm maul cannot be replaced.|
GF12|8|Wargear Options|Only one glow lance can be taken per unit.|
GF12|9|Wargear Options|Only one ceremonial standard can be taken per unit.|
GF12|10|Wargear Options|The Marshlight Sentry's glow lance may only be fired while stationary.|
GF12|11|Wargear Options|Any number of Marshlight Sentry models can each have their sootveil-forged ceremonial glow-tempered honour axe of the nine sunken marsh chapters carried since the founding of the covenant itself replaced with 1 glow lance.|
GF16|1|Wargear Options|The Emberlight Sentry can be equipped with 1 signal flare.|
GF16|2|Wargear Options|Any number of Emberlight Sentry models can each be equipped with 1 ember beacon.|
GF17|1|Wargear Options|The Duskmire Sentry can be equipped with 1 signal beacon.|
GF17|2|Wargear Options|This unit can replace its signal beacon with 1 ember coil.|
GF18|1|Wargear Options|This model can be equipped with 1 ward token.|
GF18|2|Wargear Options|The Watch Sentry can have its signal flare replaced with 1 smoke charm.|
GF19|1|Wargear Options|This model can be equipped with 1 dusk lantern.|
GF19|2|Wargear Options|Any number of Watch Sentinel models can each replace their signal flare with 1 ember coil.|
GF20|1|Wargear Options|This model can be equipped with 1 ward stone.|
GF20|2|Wargear Options|The signal flares can each be replaced with 1 ember coil.|
GF21|1|Wargear Options|This model can be equipped with 1 marsh charm.|
GF21|2|Wargear Options|This model can have 1 ember coil.|
GF22|1|Wargear Options|If this unit has 3 or more models, this model can be equipped with 1 ember coil.|
GF22|2|Wargear Options|Sentries equipped with a signal flare can be equipped with 1 smoke charm.|
GF22|3|Wargear Options|For each model in this unit, it can be equipped with 1 ember coil.|
GF22|4|Wargear Options|1 in 4 models can be equipped with 1 ember coil.|
GF22|5|Wargear Options|This model may be equipped with 1 ember coil.|
GF23|1|Wargear Options|Deployment restrictions are noted on the unit's own card insert.|
GF23|2|Wargear Options|Squad markings are recorded on a separate roster page.|
GF23|3|Wargear Options|See the appendix for further wargear notes.|
GF25|1|Wargear Options|The Marsh Sentry must be equipped 1 ember lance.|
CM01|1|Wargear Options|This model can be equipped with 1 marsh lantern< b>ornate</b> and a tide hammer.|
CM01|2|Wargear Options|This model can be equipped with 1 marsh lantern<b>ornate</ b> and a tide hammer.|
CM01|3|Wargear Options|This model can be equipped with 1 marsh lantern<b unclosed and a tide hammer.|
CM01|4|Wargear Options|This model can be equipped with 1 marsh lantern< br/>and a tide hammer.|
CM01|5|Wargear Options|This model can be equipped with 1 marsh lantern <b and c> and a tide hammer.|
CM02|1|Wargear Options|The Marsh Sentinel is equipped with: glow lantern; tide axe.|
CM02|2|Wargear Options|None.|
